Open_time,Open,High,Low,Close,Volume
2025-09-20 13:02:00,115874.5,115874.5,115859.48,115859.49,9.58327
2025-09-20 13:03:00,115859.49,115868.91,115859.48,115868.91,5.23153
2025-09-20 13:04:00,115868.9,115868.91,115868.9,115868.91,0.76898
2025-09-20 13:05:00,115868.91,115868.91,115868.9,115868.91,0.77202
2025-09-20 13:06:00,115868.91,115868.91,115868.9,115868.9,0.9431
2025-09-20 13:07:00,115868.91,115868.91,115868.9,115868.9,0.91207
2025-09-20 13:08:00,115868.91,115868.91,115868.89,115868.9,4.23917
2025-09-20 13:09:00,115868.89,115868.9,115868.89,115868.9,1.27386
2025-09-20 13:10:00,115868.89,115890.95,115868.89,115890.94,5.36044
2025-09-20 13:11:00,115890.95,115890.95,115890.94,115890.95,0.83652
2025-09-20 13:12:00,115890.95,115890.95,115890.94,115890.95,0.89583
2025-09-20 13:13:00,115890.94,115890.95,115890.94,115890.95,1.59131
2025-09-20 13:14:00,115890.95,115890.95,115890.94,115890.95,0.70113
2025-09-20 13:15:00,115890.94,115890.95,115890.94,115890.95,0.8339
2025-09-20 13:16:00,115890.95,115890.96,115890.94,115890.96,0.89926
2025-09-20 13:17:00,115890.96,115897.88,115890.95,115897.87,3.27679
2025-09-20 13:18:00,115897.88,115897.93,115897.87,115897.93,1.84578
2025-09-20 13:19:00,115897.92,115905.93,115897.92,115905.92,1.26972
2025-09-20 13:20:00,115905.93,115905.93,115905.92,115905.93,0.42593
2025-09-20 13:21:00,115905.92,115905.93,115905.92,115905.92,2.84856
2025-09-20 13:22:00,115905.92,115905.93,115905.92,115905.93,0.75109
2025-09-20 13:23:00,115905.93,115905.93,115905.92,115905.92,1.99483
2025-09-20 13:24:00,115905.93,115905.93,115905.92,115905.92,6.5944
2025-09-20 13:25:00,115905.93,115905.93,115905.92,115905.92,0.7509
2025-09-20 13:26:00,115905.93,115905.93,115905.92,115905.92,0.62657
2025-09-20 13:27:00,115905.92,115905.93,115905.92,115905.92,0.69425
2025-09-20 13:28:00,115905.92,115905.93,115905.92,115905.93,0.71094
2025-09-20 13:29:00,115905.93,115905.93,115905.92,115905.93,0.86614
2025-09-20 13:30:00,115905.93,115905.93,115905.92,115905.92,1.71285
2025-09-20 13:31:00,115905.92,115905.93,115905.92,115905.92,1.64389
2025-09-20 13:32:00,115905.93,115905.93,115905.92,115905.93,0.94331
2025-09-20 13:33:00,115905.92,115905.93,115905.92,115905.93,0.52782
2025-09-20 13:34:00,115905.92,115922.15,115905.92,115922.14,6.05959
2025-09-20 13:35:00,115922.14,115922.15,115922.14,115922.14,0.74173
2025-09-20 13:36:00,115922.15,115922.15,115922.14,115922.15,1.84127
2025-09-20 13:37:00,115922.14,115922.15,115922.14,115922.14,0.73446
2025-09-20 13:38:00,115922.15,115922.15,115922.14,115922.14,0.9828
